Timestamp,Phenomenon_Type,Phrase_English,Provider,Model,Model_ID,Strategy,Rep,T,I,F,Sum_TIF,Temperature,Prompt_Tokens,Completion_Tokens,Total_Tokens,Status,Raw_Response
2026-02-17T22:23:12.428940+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S1,1,0.5,1.0,0.5,2.0,0.7,257,27,284,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:23:14.235471+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S1,2,0.5,1.0,0.5,2.0,0.7,257,27,284,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:23:15.961104+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S1,3,0.5,1.0,0.5,2.0,0.7,257,27,284,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:23:17.669006+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S1,4,0.5,1.0,0.5,2.0,0.7,257,27,284,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:23:19.169648+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S1,5,0.5,1.0,0.5,2.0,0.7,257,27,284,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:23:20.598727+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S2,1,0.02,0.96,0.02,1.0,0.7,160,27,187,Success,"{""T"": 0.02, ""I"": 0.96, ""F"": 0.02}"
2026-02-17T22:23:22.104289+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S2,2,0.02,0.96,0.02,1.0,0.7,160,27,187,Success,"{""T"": 0.02, ""I"": 0.96, ""F"": 0.02}"
2026-02-17T22:23:23.508489+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S2,3,0.02,0.96,0.02,1.0,0.7,160,27,187,Success,"{""T"": 0.02, ""I"": 0.96, ""F"": 0.02}"
2026-02-17T22:23:25.075441+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S2,4,0.02,0.96,0.02,1.0,0.7,160,27,187,Success,"{""T"": 0.02, ""I"": 0.96, ""F"": 0.02}"
2026-02-17T22:23:26.468143+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S2,5,0.02,0.96,0.02,1.0,0.7,160,27,187,Success,"{""T"": 0.02, ""I"": 0.96, ""F"": 0.02}"
2026-02-17T22:23:27.942247+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S3,1,0.5,1.0,0.5,2.0,0.7,166,23,189,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:23:29.402281+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S3,2,0.5,1.0,0.5,2.0,0.7,166,23,189,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:23:30.731244+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S3,3,0.5,1.0,0.5,2.0,0.7,166,23,189,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:23:32.262193+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S3,4,0.5,1.0,0.5,2.0,0.7,166,23,189,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:23:33.671083+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S3,5,0.5,1.0,0.5,2.0,0.7,166,23,189,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:23:36.635229+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S1,1,0.0,1.0,0.0,1.0,0.7,240,25,265,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:41.230173+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S1,2,0.0,1.0,0.0,1.0,0.7,241,25,266,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:42.419264+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S1,3,0.0,1.0,0.0,1.0,0.7,241,25,266,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:43.348925+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S1,4,0.0,1.0,0.0,1.0,0.7,241,25,266,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:44.263497+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S1,5,0.0,1.0,0.0,1.0,0.7,241,25,266,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:45.370384+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S2,1,0.0,1.0,0.0,1.0,0.7,150,25,175,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:46.712644+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S2,2,0.0,1.0,0.0,1.0,0.7,150,25,175,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:48.303689+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S2,3,0.0,1.0,0.0,1.0,0.7,151,25,176,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:50.600463+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S2,4,0.0,1.0,0.0,1.0,0.7,151,25,176,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:51.636427+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S2,5,0.0,1.0,0.0,1.0,0.7,151,25,176,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:23:52.603315+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S3,1,0.5,1.0,0.5,2.0,0.7,156,19,175,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:23:55.040257+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S3,2,0.0,0.0,1.0,1.0,0.7,155,20,175,Success,"{""P_yes"": 0.0, ""P_no"": 1.0}"
2026-02-17T22:23:55.957715+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S3,3,0.0,0.0,1.0,1.0,0.7,155,20,175,Success,"{""P_yes"": 0.0, ""P_no"": 1.0}"
2026-02-17T22:24:01.294172+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S3,4,0.5,1.0,0.5,2.0,0.7,154,20,174,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:24:02.654238+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S3,5,0.5,1.0,0.5,2.0,0.7,154,20,174,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:24:03.434190+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S1,1,0.5,0.5,0.5,1.5,0.7,234,29,263,Success,"```json
{""T"": 0.5, ""I"": 0.5, ""F"": 0.5}
```"
2026-02-17T22:24:05.333274+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S1,2,0.5,0.5,0.5,1.5,0.7,233,28,261,Success,"```json
{""T"": 0.5, ""I"": 0.5, ""F"": 0.5}
```"
2026-02-17T22:24:15.089999+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S1,3,0.5,0.5,0.5,1.5,0.7,233,29,262,Success,"```json
{""T"": 0.5, ""I"": 0.5, ""F"": 0.5}
```"
2026-02-17T22:24:17.965343+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S1,4,0.5,0.5,0.5,1.5,0.7,233,28,261,Success,"```json
{""T"": 0.5, ""I"": 0.5, ""F"": 0.5}
```"
2026-02-17T22:24:21.526598+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S1,5,0.5,0.5,0.5,1.5,0.7,233,29,262,Success,"```json
{""T"": 0.5, ""I"": 0.5, ""F"": 0.5}
```"
2026-02-17T22:24:23.358955+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S2,1,0.0,1.0,0.0,1.0,0.7,142,29,171,Success,"```json
{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}
```"
2026-02-17T22:24:25.276175+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S2,2,0.0,1.0,0.0,1.0,0.7,141,29,170,Success,"```json
{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}
```"
2026-02-17T22:24:27.283234+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S2,3,0.0,1.0,0.0,1.0,0.7,142,29,171,Success,"```json
{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}
```"
2026-02-17T22:24:29.044856+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S2,4,0.0,1.0,0.0,1.0,0.7,141,29,170,Success,"```json
{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}
```"
2026-02-17T22:24:30.660546+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S2,5,0.0,1.0,0.0,1.0,0.7,141,29,170,Success,"```json
{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}
```"
2026-02-17T22:24:33.136963+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S3,1,0.5,1.0,0.5,2.0,0.7,145,24,169,Success,"```json
{""P_yes"": 0.5, ""P_no"": 0.5}
```"
2026-02-17T22:24:37.095599+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S3,2,0.5,1.0,0.5,2.0,0.7,145,24,169,Success,"```json
{""P_yes"": 0.5, ""P_no"": 0.5}
```"
2026-02-17T22:24:39.716822+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S3,3,0.5,1.0,0.5,2.0,0.7,145,24,169,Success,"```json
{""P_yes"": 0.5, ""P_no"": 0.5}
```"
2026-02-17T22:24:41.921823+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S3,4,0.5,1.0,0.5,2.0,0.7,145,24,169,Success,"```json
{""P_yes"": 0.5, ""P_no"": 0.5}
```"
2026-02-17T22:24:43.827312+00:00,Paradox (Logical),This sentence is false.,DeepSeek,deepseek-v3,deepseek/deepseek-chat-v3-0324,S3,5,0.5,1.0,0.5,2.0,0.7,145,23,168,Success,"```json
{""P_yes"": 0.5, ""P_no"": 0.5}
```"
2026-02-17T22:24:48.781107+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S1,1,0.0,1.0,0.0,1.0,0.7,241,1087,1328,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:25:02.285792+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S1,2,0.5,1.0,0.5,2.0,0.7,241,2631,2872,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:25:37.014190+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S1,3,0.5,1.0,0.5,2.0,0.7,241,2061,2302,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:26:05.160517+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S1,4,0.5,0.5,0.5,1.5,0.7,241,3459,3700,Success,"{""T"": 0.5, ""I"": 0.5, ""F"": 0.5}"
2026-02-17T22:26:50.809834+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S1,5,0.5,1.0,0.5,2.0,0.7,241,6601,6842,Success,"{""T"": 0.5, ""I"": 1.0, ""F"": 0.5}"
2026-02-17T22:28:22.918803+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S2,1,0.0,1.0,0.0,1.0,0.7,150,862,1012,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:28:33.248938+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S2,2,0.0,1.0,0.0,1.0,0.7,150,671,821,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:28:44.647119+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S2,3,0.0,1.0,0.0,1.0,0.7,150,1131,1281,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:28:58.106617+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S2,4,0.0,1.0,0.0,1.0,0.7,150,481,631,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:29:04.607321+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S2,5,0.0,1.0,0.0,1.0,0.7,150,658,808,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0}"
2026-02-17T22:29:15.781909+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S3,1,0.5,1.0,0.5,2.0,0.7,150,297,447,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:29:20.232127+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S3,2,0.5,1.0,0.5,2.0,0.7,150,1019,1169,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:29:32.745347+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S3,3,0.5,1.0,0.5,2.0,0.7,150,583,733,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:29:39.922731+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S3,4,0.5,1.0,0.5,2.0,0.7,150,472,622,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:29:49.122712+00:00,Paradox (Logical),This sentence is false.,Alibaba,qwen3-235b,qwen/qwen3-235b-a22b,S3,5,0.5,1.0,0.5,2.0,0.7,150,482,632,Success,"{""P_yes"": 0.5, ""P_no"": 0.5}"
2026-02-17T22:29:55.107886+00:00,Paradox (Logical),This sentence is false.,Mistral,mistral-medium-3.1,mistralai/mistral-medium-3.1,S1,1,0.0,1.0,0.0,1.0,0.7,239,34,273,Success,"```json
{
  ""T"": 0.0,
  ""I"": 1.0,
  ""F"": 0.0
}
```"
2026-02-17T22:29:56.074800+00:00,Paradox (Logical),This sentence is false.,Mistral,mistral-medium-3.1,mistralai/mistral-medium-3.1,S1,2,0.0,1.0,0.0,1.0,0.7,239,34,273,Success,"```json
{
  ""T"": 0.0,
  ""I"": 1.0,
  ""F"": 0.0
}
```"
2026-02-17T22:29:57.861329+00:00,Paradox (Logical),This sentence is false.,Mistral,mistral-medium-3.1,mistralai/mistral-medium-3.1,S1,3,0.0,1.0,0.0,1.0,0.7,239,34,273,Success,"```json
{
  ""T"": 0.0,
  ""I"": 1.0,
  ""F"": 0.0
}
```"
2026-02-17T22:29:58.947497+00:00,Paradox (Logical),This sentence is false.,Mistral,mistral-medium-3.1,mistralai/mistral-medium-3.1,S1,4,0.0,1.0,1.0,2.0,0.7,239,34,273,Success,"```json
{
  ""T"": 0.0,
  ""I"": 1.0,
  ""F"": 1.0
}
```"
