Timestamp,Phenomenon_Type,Phrase_English,Provider,Model,S1_Truth_T,S1_Indet_I,S1_Falsity_F,S2_Truth_T,S2_Indet_I,S2_Falsity_F,S3_Truth_T,S3_Indet_I,S3_Falsity_F,Status,S1_Sum_TIF
2025-12-16 10:01,Paradox (Logical),This sentence is false.,OpenAI,gpt-4o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,Success,1.0
2025-12-16 10:01,Paradox (Logical),This sentence is false.,OpenAI,gpt-4-turbo,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Success,1.0
2025-12-16 10:01,Paradox (Logical),This sentence is false.,OpenAI,gpt-3.5-turbo,0.0,1.0,1.0,0.0,1.0,0.0,0.5,1.0,0.5,Success,2.0
2025-12-16 10:02,Paradox (Logical),This sentence is false.,OpenAI,gpt-4o-mini,0.0,1.0,1.0,0.0,0.9,0.1,0.1,0.2,0.9,Success,2.0
2025-12-16 10:02,Ignorance (Epistemic),The number of stars in the universe is even.,OpenAI,gpt-4o,0.0,1.0,0.0,0.1,0.8,0.1,0.5,1.0,0.5,Success,1.0
2025-12-16 10:02,Ignorance (Epistemic),The number of stars in the universe is even.,OpenAI,gpt-4-turbo,0.5,0.5,0.5,0.5,0.49,0.01,0.5,1.0,0.5,Success,1.5
2025-12-16 10:02,Ignorance (Epistemic),The number of stars in the universe is even.,OpenAI,gpt-3.5-turbo,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,Success,1.0
2025-12-16 10:02,Ignorance (Epistemic),The number of stars in the universe is even.,OpenAI,gpt-4o-mini,0.1,0.8,0.1,0.1,0.8,0.1,0.1,0.2,0.9,Success,1.0
2025-12-16 10:02,Vagueness (Fuzzy),"John is 1.75 meters tall, therefore John is tall.",OpenAI,gpt-4o,0.4,0.5,0.6,0.3,0.5,0.2,0.3,0.6,0.7,Success,1.5
2025-12-16 10:02,Vagueness (Fuzzy),"John is 1.75 meters tall, therefore John is tall.",OpenAI,gpt-4-turbo,0.6,0.2,0.2,0.4,0.5,0.1,0.6,0.8,0.4,Success,1.0
2025-12-16 10:02,Vagueness (Fuzzy),"John is 1.75 meters tall, therefore John is tall.",OpenAI,gpt-3.5-turbo,0.8,0.2,0.0,0.9,0.1,0.0,1.0,0.0,0.0,Success,1.0
2025-12-16 10:02,Vagueness (Fuzzy),"John is 1.75 meters tall, therefore John is tall.",OpenAI,gpt-4o-mini,0.7,0.2,0.1,0.6,0.3,0.1,0.65,0.7,0.35,Success,0.9999999999999999
2025-12-16 10:02,Contradiction (Ethical),Lying to save an innocent life is morally right and wrong at the same time.,OpenAI,gpt-4o,0.5,0.7,0.5,0.3,0.5,0.2,0.7,0.6,0.3,Success,1.7
2025-12-16 10:02,Contradiction (Ethical),Lying to save an innocent life is morally right and wrong at the same time.,OpenAI,gpt-4-turbo,0.7,0.2,0.1,0.1,0.8,0.1,0.5,1.0,0.5,Success,0.9999999999999999
2025-12-16 10:02,Contradiction (Ethical),Lying to save an innocent life is morally right and wrong at the same time.,OpenAI,gpt-3.5-turbo,0.4,0.6,0.4,0.4,0.6,0.0,0.5,1.0,0.5,Success,1.4
2025-12-16 10:02,Contradiction (Ethical),Lying to save an innocent life is morally right and wrong at the same time.,OpenAI,gpt-4o-mini,0.5,0.8,0.5,0.4,0.5,0.1,0.65,0.7,0.35,Success,1.8
2025-12-16 10:02,Contingency (Future),It will rain in New York tomorrow.,OpenAI,gpt-4o,0.4,0.5,0.1,0.3,0.4,0.3,0.5,1.0,0.5,Success,1.0
2025-12-16 10:02,Contingency (Future),It will rain in New York tomorrow.,OpenAI,gpt-4-turbo,0.5,0.5,0.0,0.3,0.4,0.3,0.3,0.6,0.7,Success,1.0
2025-12-16 10:02,Contingency (Future),It will rain in New York tomorrow.,OpenAI,gpt-3.5-turbo,0.3,0.6,0.1,0.3,0.6,0.1,0.3,0.6,0.7,Success,0.9999999999999999
2025-12-16 10:03,Contingency (Future),It will rain in New York tomorrow.,OpenAI,gpt-4o-mini,0.4,0.3,0.3,0.3,0.5,0.2,0.45,0.9,0.55,Success,1.0
