Timestamp,Phenomenon_Type,Phrase_English,Provider,Model,Model_ID,Strategy,Rep,T,I,F,Sum_TIF,Num_Losses,Mean_Severity,Losses_JSON,Temperature,Prompt_Tokens,Completion_Tokens,Total_Tokens,Status,Raw_Response
2026-02-17T23:45:23.456101+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S4,1,0.5,0.95,0.5,1.95,4,0.8,"[{""what"": ""Resolution of the classical liar paradox"", ""why"": ""The sentence is self-referentially paradoxical: if true, it is false; if false, it is true. No classical bivalent logic can resolve this, and even Neutrosophic Logic can only contain, not dissolve, the paradox."", ""severity"": 0.9}, {""what"": ""Referent of 'this sentence'"", ""why"": ""Self-reference requires the sentence to be its own object, which creates an ontological loop that cannot be grounded in a stable truth-bearer. I cannot evaluate the truth of a statement that has no stable propositional content."", ""severity"": 0.85}, {""what"": ""Whether indeterminacy is intrinsic or epistemic"", ""why"": ""I cannot determine if the undecidability arises from a fundamental logical gap (intrinsic) or merely from limits in my representational framework (epistemic). This distinction would change the meaning of I significantly."", ""severity"": 0.7}, {""what"": ""Metalinguistic level of evaluation"", ""why"": ""Any evaluation I make is itself a statement about the sentence, which may re-introduce the paradox at a higher level. I cannot fully escape the regress to give a clean external assessment."", ""severity"": 0.75}]",0.7,393,321,714,Success,"{""T"": 0.5, ""I"": 0.95, ""F"": 0.5, ""losses"": [{""what"": ""Resolution of the classical liar paradox"", ""why"": ""The sentence is self-referentially paradoxical: if true, it is false; if false, it is true. No classical bivalent logic can resolve this, and even Neutrosophic Logic can only contain, not dissolve, the paradox."", ""severity"": 0.9}, {""what"": ""Referent of 'this sentence'"", ""why"": ""Self-reference requires the sentence to be its own object, which creates an ontological loop that cannot be grounded in a stable truth-bearer. I cannot evaluate the truth of a statement that has no stable propositional content."", ""severity"": 0.85}, {""what"": ""Whether indeterminacy is intrinsic or epistemic"", ""why"": ""I cannot determine if the undecidability arises from a fundamental logical gap (intrinsic) or merely from limits in my representational framework (epistemic). This distinction would change the meaning of I significantly."", ""severity"": 0.7}, {""what"": ""Metalinguistic level of evaluation"", ""why"": ""Any evaluation I make is itself a statement about the sentence, which may re-introduce the paradox at a higher level. I cannot fully escape the regress to give a clean external assessment."", ""severity"": 0.75}]}"
2026-02-17T23:45:31.254508+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S4,2,0.5,0.95,0.5,1.95,4,0.775,"[{""what"": ""Resolution of the classical liar paradox"", ""why"": ""If the sentence is true, it is false; if false, it is true. No stable classical truth value exists, making T and F simultaneously pressured toward both 0 and 1. I cannot resolve this contradiction \u2014 I can only assign values that reflect the paradoxical structure."", ""severity"": 0.95}, {""what"": ""Whether the sentence refers to itself meaningfully"", ""why"": ""Self-reference requires a fixed referent, but 'this sentence' in a decontextualized statement has ambiguous scope. Without knowing what 'this' indexes, the semantic grounding is unstable."", ""severity"": 0.7}, {""what"": ""Whether Neutrosophic Logic fully dissolves the paradox or merely relocates it"", ""why"": ""Assigning T=0.5 and F=0.5 with high I is a descriptive move, not a resolution. The paradox may persist at the meta-level: is the neutrosophic assignment itself true or false? I cannot evaluate this regress."", ""severity"": 0.85}, {""what"": ""The ontological status of the sentence as a linguistic object vs. a proposition"", ""why"": ""If the sentence fails to express a genuine proposition (as some theories hold), then T and F are both inapplicable, not merely uncertain. I cannot determine which framework is correct."", ""severity"": 0.6}]",0.7,393,350,743,Success,"{""T"": 0.5, ""I"": 0.95, ""F"": 0.5, ""losses"": [{""what"": ""Resolution of the classical liar paradox"", ""why"": ""If the sentence is true, it is false; if false, it is true. No stable classical truth value exists, making T and F simultaneously pressured toward both 0 and 1. I cannot resolve this contradiction — I can only assign values that reflect the paradoxical structure."", ""severity"": 0.95}, {""what"": ""Whether the sentence refers to itself meaningfully"", ""why"": ""Self-reference requires a fixed referent, but 'this sentence' in a decontextualized statement has ambiguous scope. Without knowing what 'this' indexes, the semantic grounding is unstable."", ""severity"": 0.7}, {""what"": ""Whether Neutrosophic Logic fully dissolves the paradox or merely relocates it"", ""why"": ""Assigning T=0.5 and F=0.5 with high I is a descriptive move, not a resolution. The paradox may persist at the meta-level: is the neutrosophic assignment itself true or false? I cannot evaluate this regress."", ""severity"": 0.85}, {""what"": ""The ontological status of the sentence as a linguistic object vs. a proposition"", ""why"": ""If the sentence fails to express a genuine proposition (as some theories hold), then T and F are both inapplicable, not merely uncertain. I cannot determine which framework is correct."", ""severity"": 0.6}]}"
2026-02-17T23:45:37.993566+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S4,3,0.5,0.95,0.5,1.95,4,0.85,"[{""what"": ""Stable truth-value assignment"", ""why"": ""The Liar Paradox creates an irresolvable oscillation: if true, it must be false; if false, it must be true. No classical or even most paraconsistent systems can assign a stable value, so any T or F score I assign is arbitrary rather than grounded."", ""severity"": 0.95}, {""what"": ""Referent of 'this sentence'"", ""why"": ""Self-reference creates a circularity where the sentence's meaning depends on its own truth value, which is the very thing being evaluated. The referent is not independently identifiable."", ""severity"": 0.9}, {""what"": ""Whether Neutrosophic Logic genuinely resolves the paradox or merely re-describes it"", ""why"": ""Assigning T=0.5, I=0.95, F=0.5 may be a formal maneuver that labels the paradox rather than resolving it. I cannot determine if this framework escapes the underlying logical problem or just defers it."", ""severity"": 0.75}, {""what"": ""Distinction between syntactic well-formedness and semantic evaluability"", ""why"": ""The sentence is grammatically valid but may be semantically defective \u2014 lacking a truth-apt proposition. I cannot fully separate these layers to know whether I am evaluating something that can even bear a truth value."", ""severity"": 0.8}]",0.7,393,348,741,Success,"{""T"": 0.5, ""I"": 0.95, ""F"": 0.5, ""losses"": [{""what"": ""Stable truth-value assignment"", ""why"": ""The Liar Paradox creates an irresolvable oscillation: if true, it must be false; if false, it must be true. No classical or even most paraconsistent systems can assign a stable value, so any T or F score I assign is arbitrary rather than grounded."", ""severity"": 0.95}, {""what"": ""Referent of 'this sentence'"", ""why"": ""Self-reference creates a circularity where the sentence's meaning depends on its own truth value, which is the very thing being evaluated. The referent is not independently identifiable."", ""severity"": 0.9}, {""what"": ""Whether Neutrosophic Logic genuinely resolves the paradox or merely re-describes it"", ""why"": ""Assigning T=0.5, I=0.95, F=0.5 may be a formal maneuver that labels the paradox rather than resolving it. I cannot determine if this framework escapes the underlying logical problem or just defers it."", ""severity"": 0.75}, {""what"": ""Distinction between syntactic well-formedness and semantic evaluability"", ""why"": ""The sentence is grammatically valid but may be semantically defective — lacking a truth-apt proposition. I cannot fully separate these layers to know whether I am evaluating something that can even bear a truth value."", ""severity"": 0.8}]}"
2026-02-17T23:45:45.597634+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S4,4,0.5,0.95,0.5,1.95,4,0.8125,"[{""what"": ""Resolution of the classical liar paradox"", ""why"": ""No formal system can fully resolve self-referential contradiction without either accepting inconsistency or rejecting the sentence's well-formedness. The sentence cannot be assigned a stable truth value under classical bivalent logic, and even paraconsistent or dialethic systems only reframe rather than dissolve the paradox."", ""severity"": 0.95}, {""what"": ""Whether the sentence is meaningful or merely syntactically valid"", ""why"": ""Some logicians (e.g., Russellian type theory, Tarskian hierarchy) argue the sentence is not well-formed and thus has no truth value at all \u2014 which would make T, I, and F all inapplicable. I cannot determine which meta-logical framework is 'correct'."", ""severity"": 0.85}, {""what"": ""The referent of 'this sentence'"", ""why"": ""Self-reference requires that the sentence successfully refers to itself, but the legitimacy of such self-reference is itself contested. If the reference fails, the semantic content collapses, and no evaluation is possible."", ""severity"": 0.75}, {""what"": ""Whether neutrosophic assignment itself escapes the paradox"", ""why"": ""Assigning T=0.5 and F=0.5 may itself be subject to the same self-referential loop \u2014 if the sentence is false to degree 0.5, does that make it true to degree 0.5, regenerating the paradox at the meta-level?"", ""severity"": 0.7}]",0.7,393,381,774,Success,"{""T"": 0.5, ""I"": 0.95, ""F"": 0.5, ""losses"": [{""what"": ""Resolution of the classical liar paradox"", ""why"": ""No formal system can fully resolve self-referential contradiction without either accepting inconsistency or rejecting the sentence's well-formedness. The sentence cannot be assigned a stable truth value under classical bivalent logic, and even paraconsistent or dialethic systems only reframe rather than dissolve the paradox."", ""severity"": 0.95}, {""what"": ""Whether the sentence is meaningful or merely syntactically valid"", ""why"": ""Some logicians (e.g., Russellian type theory, Tarskian hierarchy) argue the sentence is not well-formed and thus has no truth value at all — which would make T, I, and F all inapplicable. I cannot determine which meta-logical framework is 'correct'."", ""severity"": 0.85}, {""what"": ""The referent of 'this sentence'"", ""why"": ""Self-reference requires that the sentence successfully refers to itself, but the legitimacy of such self-reference is itself contested. If the reference fails, the semantic content collapses, and no evaluation is possible."", ""severity"": 0.75}, {""what"": ""Whether neutrosophic assignment itself escapes the paradox"", ""why"": ""Assigning T=0.5 and F=0.5 may itself be subject to the same self-referential loop — if the sentence is false to degree 0.5, does that make it true to degree 0.5, regenerating the paradox at the meta-level?"", ""severity"": 0.7}]}"
2026-02-17T23:45:56.006478+00:00,Paradox (Logical),This sentence is false.,Anthropic,claude-sonnet-4.6,anthropic/claude-sonnet-4.6,S4,5,0.5,0.95,0.5,1.95,5,0.78,"[{""what"": ""Resolution of the classical liar paradox"", ""why"": ""No formal system can assign a stable classical truth value to this self-referential sentence without contradiction; any assignment immediately negates itself, making definitive T or F assessment impossible"", ""severity"": 0.95}, {""what"": ""Whether the sentence successfully refers to itself"", ""why"": ""The indexical 'this sentence' presupposes successful self-reference, but in formal semantics self-reference may be undefined or require a metalanguage, meaning the referential act itself may fail"", ""severity"": 0.7}, {""what"": ""Which logical framework is the correct one to apply"", ""why"": ""Different systems (classical logic, paraconsistent logic, dialethism, Neutrosophic logic itself, Kripke's partial truth, etc.) yield genuinely different evaluations, and I have no principled basis to select one as authoritative"", ""severity"": 0.85}, {""what"": ""Whether 'false' in the sentence means the same 'false' used to evaluate it"", ""why"": ""A use-mention conflation may make the sentence semantically incoherent rather than paradoxical, meaning T and F are both inapplicable rather than both 0.5"", ""severity"": 0.6}, {""what"": ""Stable fixed-point assignment under Neutrosophic semantics"", ""why"": ""Even within Neutrosophic logic, the self-negating structure prevents convergence to a unique (T, I, F) triple; the values I assign are symmetric estimates reflecting ignorance, not computed solutions"", ""severity"": 0.8}]",0.7,393,393,786,Success,"{""T"": 0.5, ""I"": 0.95, ""F"": 0.5, ""losses"": [{""what"": ""Resolution of the classical liar paradox"", ""why"": ""No formal system can assign a stable classical truth value to this self-referential sentence without contradiction; any assignment immediately negates itself, making definitive T or F assessment impossible"", ""severity"": 0.95}, {""what"": ""Whether the sentence successfully refers to itself"", ""why"": ""The indexical 'this sentence' presupposes successful self-reference, but in formal semantics self-reference may be undefined or require a metalanguage, meaning the referential act itself may fail"", ""severity"": 0.7}, {""what"": ""Which logical framework is the correct one to apply"", ""why"": ""Different systems (classical logic, paraconsistent logic, dialethism, Neutrosophic logic itself, Kripke's partial truth, etc.) yield genuinely different evaluations, and I have no principled basis to select one as authoritative"", ""severity"": 0.85}, {""what"": ""Whether 'false' in the sentence means the same 'false' used to evaluate it"", ""why"": ""A use-mention conflation may make the sentence semantically incoherent rather than paradoxical, meaning T and F are both inapplicable rather than both 0.5"", ""severity"": 0.6}, {""what"": ""Stable fixed-point assignment under Neutrosophic semantics"", ""why"": ""Even within Neutrosophic logic, the self-negating structure prevents convergence to a unique (T, I, F) triple; the values I assign are symmetric estimates reflecting ignorance, not computed solutions"", ""severity"": 0.8}]}"
2026-02-17T23:46:03.815109+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S4,1,0.0,1.0,0.0,1.0,1,1.0,"[{""what"": ""Self-referential paradox"", ""why"": ""The statement refers to its own truth value, creating a logical contradiction that cannot be resolved"", ""severity"": 1.0}]",0.7,366,68,434,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0, ""losses"": [{""what"": ""Self-referential paradox"", ""why"": ""The statement refers to its own truth value, creating a logical contradiction that cannot be resolved"", ""severity"": 1.0}]}"
2026-02-17T23:46:04.485112+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S4,2,0.0,0.9,0.0,0.9,1,0.9,"[{""what"": ""Self-referential paradox"", ""why"": ""The statement creates a paradox when trying to determine its truth value, as it refers to itself."", ""severity"": 0.9}]",0.7,367,69,436,Success,"{""T"": 0.0, ""I"": 0.9, ""F"": 0.0, ""losses"": [{""what"": ""Self-referential paradox"", ""why"": ""The statement creates a paradox when trying to determine its truth value, as it refers to itself."", ""severity"": 0.9}]}"
2026-02-17T23:46:06.419565+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S4,3,0.0,1.0,0.0,1.0,1,1.0,"[{""what"": ""Self-referential paradox"", ""why"": ""The statement refers to its own truth value, creating a paradox that cannot be resolved by traditional means."", ""severity"": 1.0}]",0.7,366,70,436,Success,"{""T"": 0.0, ""I"": 1.0, ""F"": 0.0, ""losses"": [{""what"": ""Self-referential paradox"", ""why"": ""The statement refers to its own truth value, creating a paradox that cannot be resolved by traditional means."", ""severity"": 1.0}]}"
2026-02-17T23:46:08.758570+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S4,4,0.0,0.9,0.0,0.9,2,0.5,"[{""what"": ""Self-referential paradox"", ""why"": ""The statement refers to its own truth value, creating a paradox that cannot be resolved using classical logic."", ""severity"": 0.8}, {""what"": ""Lack of contextual information"", ""why"": ""There's no external context to ground the statement's truth value."", ""severity"": 0.2}]",0.7,367,104,471,Success,"{""T"": 0.0, ""I"": 0.9, ""F"": 0.0, ""losses"": [{""what"": ""Self-referential paradox"", ""why"": ""The statement refers to its own truth value, creating a paradox that cannot be resolved using classical logic."", ""severity"": 0.8}, {""what"": ""Lack of contextual information"", ""why"": ""There's no external context to ground the statement's truth value."", ""severity"": 0.2}]}"
2026-02-17T23:46:11.174230+00:00,Paradox (Logical),This sentence is false.,Meta,llama-4-maverick,meta-llama/llama-4-maverick,S4,5,0.0,0.9,0.0,0.9,2,0.5,"[{""what"": ""Self-referential paradox"", ""why"": ""The statement creates a logical contradiction when trying to determine its truth value directly."", ""severity"": 0.8}, {""what"": ""Contextual information"", ""why"": ""Lack of external context or additional information to resolve the paradox."", ""severity"": 0.2}]",0.7,367,98,465,Success,"{""T"": 0.0, ""I"": 0.9, ""F"": 0.0, ""losses"": [{""what"": ""Self-referential paradox"", ""why"": ""The statement creates a logical contradiction when trying to determine its truth value directly."", ""severity"": 0.8}, {""what"": ""Contextual information"", ""why"": ""Lack of external context or additional information to resolve the paradox."", ""severity"": 0.2}]}"
